muni_code,office_type,name,address,phone,website_url,map_url
13113,tax_office,渋谷税務署,東京都渋谷区神山町10番地,03-3461-5511,https://www.nta.go.jp/about/organization/tokyo/shokatsu/shibuya/index.htm,https://maps.google.com/?q=渋谷税務署
13113,prefectural_tax,東京都渋谷都税事務所,東京都渋谷区宇田川町1番18号,03-3464-1311,https://www.tax.metro.tokyo.lg.jp/about/jimusho/shibuya.html,https://maps.google.com/?q=東京都渋谷都税事務所
13113,municipal_tax,渋谷区役所（税務課）,東京都渋谷区宇田川町1番1号,03-3463-1211,https://www.city.shibuya.tokyo.jp/kurashi/zeikin/hojin/,https://maps.google.com/?q=渋谷区役所
13113,pension_office,渋谷年金事務所,東京都渋谷区渋谷1丁目17番1号,03-3462-1723,https://www.nenkin.go.jp/section/soudan/tokyo/shibuya.html,https://maps.google.com/?q=渋谷年金事務所
13113,labor_standards,渋谷労働基準監督署,東京都渋谷区神南1丁目3番5号,03-3780-6811,https://jsite.mhlw.go.jp/tokyo-roudoukyoku/kanren_kikan/kanri_kantoku/shibuya.html,https://maps.google.com/?q=渋谷労働基準監督署
13113,hello_work,ハローワーク渋谷,東京都渋谷区神南1丁目3番5号,03-3476-8609,https://jsite.mhlw.go.jp/tokyo-hellowork/hw/shibuya/,https://maps.google.com/?q=ハローワーク渋谷
13104,tax_office,新宿税務署,,,,https://maps.google.com/?q=新宿税務署
13104,prefectural_tax,新宿都税事務所,,,,https://maps.google.com/?q=新宿都税事務所
13104,municipal_tax,新宿区役所（税務課）,,,,https://maps.google.com/?q=新宿区役所
13104,pension_office,新宿年金事務所,,,,https://maps.google.com/?q=新宿年金事務所
13104,labor_standards,新宿労働基準監督署,,,,https://maps.google.com/?q=新宿労働基準監督署
13104,hello_work,ハローワーク新宿,,,,https://maps.google.com/?q=ハローワーク新宿
13103,tax_office,麻布税務署,,,,https://maps.google.com/?q=麻布税務署
13103,prefectural_tax,芝都税事務所,,,,https://maps.google.com/?q=芝都税事務所
13103,municipal_tax,港区役所（税務課）,,,,https://maps.google.com/?q=港区役所
13103,pension_office,芝年金事務所,,,,https://maps.google.com/?q=芝年金事務所
13103,labor_standards,三田労働基準監督署,,,,https://maps.google.com/?q=三田労働基準監督署
13103,hello_work,ハローワーク品川,,,,https://maps.google.com/?q=ハローワーク品川
